title,authors,nc_state_people,DOI,year,topics,nc_authors,unity_ids
Flexible Self-Powered Organic Photodetector with High Detectivity for Continuous On-Plant Sensing,"Schrickx, Harry M.; Gyurek, Sydney; Moore, Caleb; Hernandez-Pagan, Edmaritz; Doherty, Colleen J.; Kudenov, Michael W.; Brendan T. O'Connor, ",Harry Schrickx (hschric); Sydney Gyurek (ssgyurek); Colleen Doherty (cjdohert); Michael Kudenov (mwkudeno); Brendan O'Connor (btoconno); Caleb Moore (ckmoore); Edmaritz Hernandez Pagan (ehernan6),10.1002/adom.202400005,2024,,"Schrickx, Harry; Gyurek, Sydney; Doherty, Colleen; Kudenov, Michael; O'Connor, Brendan; Moore, Caleb; Pagan, Edmaritz Hernandez",hschric; ssgyurek; cjdohert; mwkudeno; btoconno; ckmoore; ehernan6
Percutaneous Wearable Biosensors: A Brief History and Systems Perspective,"Peterson, Kaila L.; Shukla, Rajendra P.; Daniele, Michael A.",Kaila Peterson (klpeter4); Michael Daniele (mdaniel6); RAJENDRA SHUKLA (rshukla4),10.1002/adsr.202400068,2024,"materials engineering; genomics; proteomics; sensors; microbes; IoT; imaging; regenerative ag; sensing","Peterson, Kaila; Daniele, Michael; SHUKLA, RAJENDRA",klpeter4; mdaniel6; rshukla4
Synthetic Platelet Microgels Containing Fibrin Knob B Mimetic Motifs Enhance Clotting Responses,"Nandi, Seema; Mihalko, Emily; Nellenbach, Kimberly; Castaneda, Mario; Schneible, John; Harp, Mary; Deal, Halston; Daniele, Michael; Menegatti, Stefano; Barker, Thomas H.; Brown, Ashley C.",Seema Nandi (snandi3); Emily Mihalko (emihalk); Kimberly Nellenbach (kanellen); John Schneible (jdschnei); Halston Deal (hdeal); Michael Daniele (mdaniel6); Stefano Menegatti (smenega); Ashley Brown (aecarso2),10.1002/adtp.202100010,2021,"materials engineering; proteomics; microbes; science communication; synthetic biology; imaging; regenerative ag; pathology; CRISPR","Nandi, Seema; Mihalko, Emily; Nellenbach, Kimberly; Schneible, John; Deal, Halston; Daniele, Michael; Menegatti, Stefano; Brown, Ashley",snandi3; emihalk; kanellen; jdschnei; hdeal; mdaniel6; smenega; aecarso2
Risk to sustainability of pest management tools in peanut,"Jordan, David L.; Dunne, Jeffrey; Stalker, H. Thomas; Shew, Barbara B.; Brandenburg, Rick L.; Anco, Dan; Mehl, Hillary; Taylor, Sally; Balota, Maria",David Jordan (dljorda2); Jeffrey Dunne (jcdunne); Barbara Shew (bshew); Rick Brandenburg (rbranden); Harold Stalker (hts); Daniel Joseph Anco (djanco),10.1002/ael2.20018,2020,"breeding; pest mgmt; microbes; conservation; resource economics; bioremediation; plant health; sustainable ag; nematodes; plant improvement; regulatory science; Genetics; genomics; soil; food systems; carbon capture; fungi; risk management; Ecology; disease control; biotic stress; food security","Jordan, David; Dunne, Jeffrey; Shew, Barbara; Brandenburg, Rick; Stalker, Harold; Anco, Daniel Joseph",dljorda2; jcdunne; bshew; rbranden; hts; djanco
Rapid and inexpensive assessment of soil total iron using Nix Pro color sensor,"Jha, Gaurav; Sihi, Debjani; Dari, Biswanath; Kaur, Harpreet; Nocco, Mallika Arudi; Ulery, April; Lombard, Kevin",Debjani Sihi (dsihi),10.1002/ael2.20050,2021,"soil; geospatial","Sihi, Debjani",dsihi
Si Doped Hafnium Oxide-A “Fragile” Ferroelectric System,"Richter, Claudia; Schenk, Tony; Park, Min Hyuk; Tscharntke, Franziska A.; Grimley, Everett D.; LeBeau, James M.; Zhou, Chuanzhen; Fancher, Chris M.; Jones, Jacob L.; Mikolajick, Thomas; Schroeder, Uwe",James LeBeau (jmlebeau); Jacob Jones (jljone21),10.1002/AELM.201700131,2017,"materials engineering; renewable energy","LeBeau, James; Jones, Jacob",jmlebeau; jljone21
Origin of Temperature-Dependent Ferroelectricity in Si-Doped HfO2,"Park, Min Hyuk; Chung, Ching-Chang; Schenk, Tony; Richter, Claudia; Hoffmann, Michael; Wirth, Steffen; Jones, Jacob L.; Mikolajick, Thomas; Schroeder, Uwe",Jacob Jones (jljone21),10.1002/AELM.201700489,2018,,"Jones, Jacob",jljone21
"Effect of Annealing Ferroelectric HfO2
 Thin Films: In Situ, High Temperature X-Ray Diffraction","Park, Min Hyuk; Chung, Ching-Chang; Schenk, Tony; Richter, Claudia; Opsomer, Karl; Detavernier, Christophe; Adelmann, Christoph; Jones, Jacob L.; Mikolajick, Thomas; Schroeder, Uwe",Jacob Jones (jljone21),10.1002/AELM.201800091,2018,"materials engineering","Jones, Jacob",jljone21
On the Origin of the Large Remanent Polarization in La:HfO<sub>2,"Schenk, Tony; Fancher, Chris M.; Park, Min Hyuk; Richter, Claudia; Künneth, Christopher; Kersch, Alfred; Jones, Jacob L.; Mikolajick, Thomas; Schroeder, Uwe",Jacob Jones (jljone21),10.1002/aelm.201900303,2019,"materials engineering","Jones, Jacob",jljone21
Temperature‐Dependent Phase Transitions in Hf<sub>x</sub>Zr<sub>1‐x</sub>O<sub>2</sub> Mixed Oxides: Indications of a Proper Ferroelectric Material,"Schroeder, Uwe; Mittmann, Terence; Materano, Monica; Lomenzo, Patrick D.; Edgington, Patrick; Lee, Young H.; Alotaibi, Meshari; West, Anthony R.; Mikolajick, Thomas; Kersch, Alfred; Jones, Jacob L.",Patrick Edgington (pgedging); Jacob Jones (jljone21),10.1002/aelm.202200265,2022,"materials engineering","Edgington, Patrick; Jones, Jacob",pgedging; jljone21
Crop insurance participation and cover crop use: Evidence from Indiana county-level data,"Connor, Lawson; Rejesus, Roderick M.; Yasar, Mahmut",Roderick Rejesus (rmrejesu),10.1002/aepp.13206,2021,"outreach; pest mgmt; conservation; social sciences; resource economics; machine learning; modeling; plant health; sustainable ag; regulatory science; decision support; community; genomics; soil; data analytics; Ag economics; data science; carbon capture; food systems; policy; risk management; Ecology; disease control; geospatial; food security; renewable energy; sensing","Rejesus, Roderick",rmrejesu
Payments from agricultural conservation programs and cover crop adoption,"Park, Byungyul; Rejesus, Roderick M.; Aglasan, Serkan; Che, Yuyuan; Hagen, Stephen C.; Salas, William",Roderick Rejesus (rmrejesu); Serkan Aglasan (saglasa); Yuyuan Che (yche3),10.1002/aepp.13248,2022,"outreach; pest mgmt; conservation; social sciences; resource economics; modeling; sustainable ag; regulatory science; decision support; community; soil; data analytics; food systems; data science; carbon capture; policy; Ecology; geospatial; food security","Rejesus, Roderick; Aglasan, Serkan; Che, Yuyuan",rmrejesu; saglasa; yche3
Genetic variation for response to mixed triazole and strobilurin application in diverse maize,"Woore, Matthew Smith; Holland, James Brendan",James Holland (jholland),10.1002/agg2.20054,2020,"plant improvement; plant health; biotic stress; plant signalling","Holland, James",jholland
Gateway-node wireless data collection system for environmental sensing,"Thompson, Alondra I; Schomberg, Harry H.; Evett, Steven R.; Fisher, Daniel K.; Mirsky, Steven B.; Reberg-Horton, S. Chris",Chris Reberg-Horton (screberg),10.1002/agg2.20219,2021,"outreach; pest mgmt; microbes; Agtech; robotics; precision ag; modeling; sustainable ag; digital twin; decision support; community; soil; science communication; data analytics; food systems; data science; resilient ag; carbon capture; Ecology; materials engineering; sensors; digital twins; automation; IoT; geospatial; renewable energy; sensing","Reberg-Horton, Chris",screberg
Evaluation of conservation tillage practices in the production of organic flue-cured tobacco,"Machanoff, Cordelia H.; Vann, Matthew Christopher; Woodley, Alex L.; Suchoff, David",David Suchoff (dhsuchof); Matthew Vann (mcvann); Alex Woodley (alwoodle),10.1002/agg2.20317,2022,,"Suchoff, David; Vann, Matthew; Woodley, Alex",dhsuchof; mcvann; alwoodle
