Name,degree,weightedDegree,betweenness,closeness,eigenvector,community
Saet Byul Kim,8.0,9.0,1469.7201418666734,0.27589119783747257,0.002654317705519824,1405
Angela Chiang,1.0,1.0,0.0,1.0,1.5403239158493654e-26,1641
William Cline,4.0,4.0,0.0,0.2132967607105538,0.00014430169075028572,1470
Tzung Fu Hsieh,7.0,7.0,0.0,0.24608197709463533,0.0025825173749009227,1470
Sumeetha Jagadeesan,7.0,7.0,0.0,0.24608197709463533,0.0025825173749009227,1470
Jin Xu,7.0,7.0,0.0,0.24608197709463533,0.0025825173749009227,1470
Moab Andrade,7.0,7.0,0.0,0.2657445077298617,0.003992282827619714,81
Leonardo Oliveira,7.0,7.0,0.0,0.2657445077298617,0.003992282827619714,81
Gustavo Machado,3.0,4.0,0.0,0.207734384938303,0.00015013278006417559,479
Naveen Pillai,3.0,3.0,0.0,0.220169880005393,0.00015574635809615213,1440
Chia-Fu Wang,2.0,4.0,0.0,0.19832402234636873,0.00019582274810523353,1280
Matthew N. Miskiewicz,7.0,17.0,1.9999999999999998,0.26492537313432835,0.0025246941987893093,48
Michael Escuti,19.0,58.0,158.35739350255471,0.26907233481627946,0.0049331886484702435,48
Ethan R. Woodard,1.0,3.0,0.0,0.2646677471636953,0.0017972859467657984,48
Bryan David Maione,6.0,17.0,2.6666666666666665,0.264882400648824,0.0023975668570800812,48
Leandra L. Brickson,3.0,6.0,0.0,0.26475356679636836,0.0021155015036276423,48
Ali Altaqui,12.0,35.0,1204.5561554727988,0.2963702359346643,0.016862162517663464,48
MD RAF E UL SHOUGAT,5.0,6.0,2.0,0.19839630664560806,0.00034645248584127733,1280
David Luo,4.0,9.0,0.0,0.2647964974866223,0.002225365306851337,48
Yifan Wang,2.0,5.0,0.0,0.2647106500243151,0.002011197916790911,48
Alexander G. Verderber,8.0,9.0,96.72667368559779,0.27626459143968873,0.009655833778822407,1556
Brett A. Pantalone,3.0,7.0,0.5,0.26475356679636836,0.002017768008325351,48
Prasenjit Sen,3.0,3.0,0.0,0.2683648315529992,0.0022086755961785074,48
Zhejun Wu,1.0,1.0,0.0,0.2646677471636953,0.0017972859467657984,48
Xiao Xiang,4.0,7.0,0.0,0.2647964974866223,0.0022171370495468676,48
Kathryn Hornburg,4.0,7.0,0.0,0.2647964974866223,0.0022171370495468676,48
Jihwan Kim,7.0,9.0,2.0,0.26492537313432835,0.002516797976943858,48
Cameron Marashi,6.0,15.0,234.80106286289555,0.2123813239693068,0.000528498563634784,1280
Danny Krafft,9.0,13.0,5369.516985055084,0.297938332421091,0.006447045175342273,1470
Joshua Larsen,4.0,7.0,0.0,0.28286852589641437,0.00268051887437451,81
Jacob Daye,3.0,3.0,0.0,0.19834811125956517,0.00020333540727314708,1280
Andrew Lee,3.0,3.0,0.0,0.19834811125956517,0.00020333540727314708,1280
Joseph Alonso,3.0,3.0,0.0,0.19834811125956517,0.00019472604577682498,1280
Waliur Rahman,3.0,3.0,0.0,0.19834811125956517,0.00019472604577682498,1280
A. N. Novell,2.0,2.0,0.0,0.22169427097474884,0.0012091197090933247,1556
Robert Kolbas,8.0,18.0,0.0,0.26858552631578947,0.003796931008981695,48
Kathryne Ford,7.0,7.0,0.0,0.22627130386587224,0.03629102524763791,1221
Jose Alonso Bellver,1.0,1.0,0.0,0.2434406678592725,0.001533638589219998,1221
