title,authors,nc_state_people,DOI,year,topics,co_author,nc_authors,unity_ids
Molecular Engineering of Cyclic Azobenzene‐Peptide Hybrid Ligands for the Purification of Human Blood Factor VIII via Photo‐Affinity Chromatography,"Prodromou, Raphael; Moore, Brandyn David; Chu, Wenning; Deal, Halston; San Miguel, Adriana; Brown, Ashley Carson; Daniele, Michael Angelo‐Anthony; Pozdin, Vladimir Aleksandrovich; Menegatti, Stefano",Raphael Prodromou (rprodro); Brandyn Moore (bdmoore2); Wenning Chu (wchu3); Halston Deal (hdeal); Adriana San Miguel (asanmig); Ashley Brown (aecarso2); Michael Daniele (mdaniel6); Vladimir Pozdin (vapozdin); Stefano Menegatti (smenega),10.1002/adfm.202213881,2023,Hemophilia Treatment and Research; Platelet Disorders and Treatments; Cancer-related gene regulation,"Moore, Brandyn David; Chu, Wenning; Deal, Halston; San Miguel, Adriana; Brown, Ashley Carson; Daniele, Michael Angelo‐Anthony; Pozdin, Vladimir Aleksandrovich; Menegatti, Stefano","Prodromou, Raphael; Moore, Brandyn David; Chu, Wenning; Deal, Halston; San Miguel, Adriana; Brown, Ashley Carson; Daniele, Michael Angelo‐Anthony; Pozdin, Vladimir Aleksandrovich; Menegatti, Stefano",rprodro; bdmoore2; wchu3; hdeal; asanmig; aecarso2; mdaniel6; vapozdin; smenega
Liquid Metal-Based Biosensors: Fundamentals and Applications,"Jamalzadegan, Sina; Kim, Sooyoung; Mohammad, Noor; Koduri, Harshita; Hetzler, Zach; Lee, Giwon; Dickey, Michael D.; Wei, Qingshan",Sina Jamalzadegan (sjamalz); Sooyoung Kim (skim94); Noor Mohammad (nmohamm3); Zach Hetzler (zjhetzle); Giwon Lee (glee8); Michael Dickey (mddickey); Qingshan Wei (qwei3),10.1002/adfm.202308173,2024,Advanced Sensor and Energy Harvesting Materials; Nanomaterials and Printing Technologies,"Kim, Sooyoung; Mohammad, Noor; Koduri, Harshita; Hetzler, Zach; Lee, Giwon; Dickey, Michael D.; Wei, Qingshan","Jamalzadegan, Sina; Kim, Sooyoung; Mohammad, Noor; Hetzler, Zach; Lee, Giwon; Dickey, Michael D.; Wei, Qingshan",sjamalz; skim94; nmohamm3; zjhetzle; glee8; mddickey; qwei3
Exceptional Alignment in a Donor-Acceptor Conjugated Polymer via a Previously Unobserved Liquid Crystal Mesophase,"Schrickx, Harry M.; Kashani, Somayeh; Buck, Lauren; Ding, Kan; Rech, Jeromy J.; Flagg, Lucas Q.; Li, Ruipeng; Kudenov, Michael W.; You, Wei; Richter, Lee J.; Ade, Harald; Brendan T. O'Connor, ",Harry Schrickx (hschric); Somayeh Kashani (skashan); Kan Ding (kding4); Michael Kudenov (mwkudeno); Harald Ade (hwade); Brendan O'Connor (btoconno),10.1002/adfm.202315183,2024,Organic Electronics and Photovoltaics; Liquid Crystal Research Advancements; Synthesis and properties of polymers,"Kashani, Somayeh; Buck, Lauren; Ding, Kan; Rech, Jeromy J.; Flagg, Lucas Q.; Li, Ruipeng; Kudenov, Michael W.; You, Wei; Richter, Lee J.; Ade, Harald; Brendan T. O'Connor,","Schrickx, Harry M.; Kashani, Somayeh; Ding, Kan; Kudenov, Michael W.; Ade, Harald; Brendan T. O'Connor",hschric; skashan; kding4; mwkudeno; hwade; btoconno
Tunable Infrared Emissivity Using Laser-Sintered Liquid Metal Nanoparticle Films,"Im, Sooik; Frey, Ethan; Kim, Do Hyeon; Heo, Se-Yeon; Song, Young Min; Vong, Man Hou; Jamalzadegan, Sina; Wei, Qingshan; Gregg, Amanda A.; Khatib, Omar; Padilla, Willie J.; Genzer, Jan; Dickey, Michael D.",Sooik Im (sim2); Ethan Frey (ejfrey3); Sina Jamalzadegan (sjamalz); Qingshan Wei (qwei3); Jan Genzer (jgenzer); Michael Dickey (mddickey); Man Hou Vong (mvong),10.1002/adfm.202422453,2024,Thermal Radiation and Cooling Technologies; Urban Heat Island Mitigation; Building Energy and Comfort Optimization,"Frey, Ethan; Kim, Do Hyeon; Heo, Se-Yeon; Song, Young Min; Vong, Man Hou; Jamalzadegan, Sina; Wei, Qingshan; Gregg, Amanda A.; Khatib, Omar; Padilla, Willie J.; Genzer, Jan; Dickey, Michael D.","Im, Sooik; Frey, Ethan; Jamalzadegan, Sina; Wei, Qingshan; Genzer, Jan; Dickey, Michael D.; Vong, Man Hou",sim2; ejfrey3; sjamalz; qwei3; jgenzer; mddickey; mvong
Microfluidic Strategies for Design and Assembly of Microfibers and Nanofibers with Tissue Engineering and Regenerative Medicine Applications,"Daniele, Michael A.; Boyd, Darryl A.; Adams, André A.; Ligler, Frances S.",Michael Daniele (mdaniel6); Frances Ligler (fsligler),10.1002/ADHM.201400144,2014,3D Printing in Biomedical Research; Electrospun Nanofibers in Biomedical Applications; Innovative Microfluidic and Catalytic Techniques Innovation,"Boyd, Darryl A.; Adams, André A.; Ligler, Frances S.","Daniele, Michael A.; Ligler, Frances S.",mdaniel6; fsligler
Microfluidics: Microfluidic Strategies for Design and Assembly of Microfibers and Nanofibers with Tissue Engineering and Regenerative Medicine Applications (Adv. Healthcare Mater. 1/2015),"Daniele, Michael A.; Boyd, Darryl A.; Adams, André A.; Ligler, Frances S.",Michael Daniele (mdaniel6); Frances Ligler (fsligler),10.1002/ADHM.201570002,2015,Biomedical Ethics and Regulation; 3D Printing in Biomedical Research,"Boyd, Darryl A.; Adams, André A.; Ligler, Frances S.","Daniele, Michael A.; Ligler, Frances S.",mdaniel6; fsligler
A Wearable Hydration Sensor with Conformal Nanowire Electrodes,"Yao, Shanshan; Myers, Amanda; Malhotra, Abhishek; Lin, Feiyan; Bozkurt, Alper; Muth, John F.; Zhu, Yong",Amanda Mills (acmyers3); Yong Zhu (yzhu7); John Muth (muth); Alper Bozkurt (aybozkur),10.1002/adhm.201601159,2017,Advanced Sensor and Energy Harvesting Materials; Tactile and Sensory Interactions; Non-Invasive Vital Sign Monitoring,"Myers, Amanda; Malhotra, Abhishek; Lin, Feiyan; Bozkurt, Alper; Muth, John F.; Zhu, Yong","Myers, Amanda; Zhu, Yong; Muth, John F.; Bozkurt, Alper",acmyers3; yzhu7; muth; aybozkur
Hydration Sensing: A Wearable Hydration Sensor with Conformal Nanowire Electrodes (Adv. Healthcare Mater. 6/2017),"Yao, Shanshan; Myers, Amanda; Malhotra, Abhishek; Lin, Feiyan; Bozkurt, Alper; Muth, John F.; Zhu, Yong",Amanda Mills (acmyers3); Abhishek Malhotra (amalhot); Alper Bozkurt (aybozkur); John Muth (muth); Shanshan Yao (syao2); Yong Zhu (yzhu7),10.1002/adhm.201770031,2017,Advanced Sensor and Energy Harvesting Materials,"Myers, Amanda; Malhotra, Abhishek; Lin, Feiyan; Bozkurt, Alper; Muth, John F.; Zhu, Yong","Myers, Amanda; Malhotra, Abhishek; Bozkurt, Alper; Muth, John F.; Yao, Shanshan; Zhu, Yong",acmyers3; amalhot; aybozkur; muth; syao2; yzhu7
Ultrasound-Powered Implants: A Critical Review of Piezoelectric Material Selection and Applications,"Turner, Brendan L.; Senevirathne, Seedevi; Kilgour, Katie; McArt, Darragh; Biggs, Manus; Menegatti, Stefano; Daniele, Michael A.",Brendan Turner (blturne5); Katie Kilgour (kmkilgou); Stefano Menegatti (smenega); Michael Daniele (mdaniel6),10.1002/adhm.202100986,2021,Advanced Sensor and Energy Harvesting Materials; Wireless Power Transfer Systems; Conducting polymers and applications,"Senevirathne, Seedevi; Kilgour, Katie; McArt, Darragh; Biggs, Manus; Menegatti, Stefano; Daniele, Michael A.","Turner, Brendan L.; Kilgour, Katie; Menegatti, Stefano; Daniele, Michael A.",blturne5; kmkilgou; smenega; mdaniel6
Multiscale Anisotropic Tissue Biofabrication via Bulk Acoustic Patterning of Cells and Functional Additives in Hybrid Bioinks,"Chansoria, Parth; Asif, Suleman; Gupta, Nithin; Piedrahita, Jorge; Shirwaiker, Rohan A.",Parth Chansoria (pchanso); Suleman Asif (sasif); Jorge Piedrahita (japiedra); Rohan Shirwaiker (rashirwa),10.1002/adhm.202102351,2022,3D Printing in Biomedical Research; Microfluidic and Bio-sensing Technologies; Additive Manufacturing and 3D Printing Technologies,"Asif, Suleman; Gupta, Nithin; Piedrahita, Jorge; Shirwaiker, Rohan A.","Chansoria, Parth; Asif, Suleman; Piedrahita, Jorge; Shirwaiker, Rohan A.",pchanso; sasif; japiedra; rashirwa
Hydrogel-Forming Microneedles and Applications in Interstitial Fluid Diagnostic Devices,"Aroche, Angelica F.; Nissan, Hannah E.; Daniele, Michael A.",Michael Daniele (mdaniel6); Hannah Nissan (henissan),10.1002/adhm.202401782,2024,Advancements in Transdermal Drug Delivery; Ocular Surface and Contact Lens; Plant Surface Properties and Treatments,"Nissan, Hannah E.; Daniele, Michael A.","Daniele, Michael A.; Nissan, Hannah E.",mdaniel6; henissan
Sweet Substrate: A Polysaccharide Nanocomposite for Conformal Electronic Decals,"Daniele, Michael A.; Knight, Adrian J.; Roberts, Steven A.; Radom, Kathryn; Erickson, Jeffrey S.",Michael Daniele (mdaniel6),10.1002/ADMA.201404445,2014,Electrowetting and Microfluidic Technologies; Advanced Sensor and Energy Harvesting Materials; Advanced Materials and Mechanics,"Knight, Adrian J.; Roberts, Steven A.; Radom, Kathryn; Erickson, Jeffrey S.","Daniele, Michael A.",mdaniel6
Nanocomposites: Sweet Substrate: A Polysaccharide Nanocomposite for Conformal Electronic Decals (Adv. Mater. 9/2015),"Daniele, Michael A.; Knight, Adrian J.; Roberts, Steven A.; Radom, Kathryn; Erickson, Jeffrey S.",Michael Daniele (mdaniel6),10.1002/ADMA.201570064,2015,Advanced Materials and Mechanics; Advanced Sensor and Energy Harvesting Materials; Electrospun Nanofibers in Biomedical Applications,"Knight, Adrian J.; Roberts, Steven A.; Radom, Kathryn; Erickson, Jeffrey S.","Daniele, Michael A.",mdaniel6
Ferroelectric Domain Wall Engineering Enables Thermal Modulation in PMN-PT Single Crystals,"Negi, Ankit; Kim, Hwang Pill; Hua, Zilong; Timofeeva, Anastasia; Zhang, Xuanyi; Zhu, Yong; Peters, Kara; Kumah, Divine; Jiang, Xiaoning; Liu, Jun",Jun Liu (jliu38); Ankit Negi (anegi2); Anastasia Timofeeva (aatimofe); Xuanyi Zhang (xzhang75); Yong Zhu (yzhu7); Kara Peters (kjpeters); Divine Kumah (dpkumah); Xiaoning Jiang (xjiang5); HWANG PILL KIM (hkim67),10.1002/adma.202211286,2023,Ferroelectric and Piezoelectric Materials; Multiferroics and related materials; Dielectric materials and actuators,"Kim, Hwang Pill; Hua, Zilong; Timofeeva, Anastasia; Zhang, Xuanyi; Zhu, Yong; Peters, Kara; Kumah, Divine; Jiang, Xiaoning; Liu, Jun","Liu, Jun; Negi, Ankit; Timofeeva, Anastasia; Zhang, Xuanyi; Zhu, Yong; Peters, Kara; Kumah, Divine; Jiang, Xiaoning; Kim, Hwang Pill",jliu38; anegi2; aatimofe; xzhang75; yzhu7; kjpeters; dpkumah; xjiang5; hkim67
Combined Experimental and Computational Methods Reveal the Evolution of Buried Interfaces during Synthesis of Ferroelectric Thin Films,"Jones, Jacob L.; LeBeau, James M.; Nikkel, Jason; Oni, Adedapo A.; Dycus, J. Houston; Cozzan, Clayton; Lin, Fang-Yin; Chernatynskiy, Aleksandr; Nino, Juan C.; Sinnott, Susan B.; Mhin, Sungwook; Brennecka, Geoff L.; Ihlefeld, Jon",James LeBeau (jmlebeau); Jacob Jones (jljone21),10.1002/ADMI.201500181,2015,Ferroelectric and Piezoelectric Materials; Semiconductor materials and devices; Electronic and Structural Properties of Oxides,"LeBeau, James M.; Nikkel, Jason; Oni, Adedapo A.; Dycus, J. Houston; Cozzan, Clayton; Lin, Fang-Yin; Chernatynskiy, Aleksandr; Nino, Juan C.; Sinnott, Susan B.; Mhin, Sungwook; Brennecka, Geoff L.; Ihlefeld, Jon","LeBeau, James M.; Jones, Jacob L.",jmlebeau; jljone21
Thin Films: Combined Experimental and Computational Methods Reveal the Evolution of Buried Interfaces during Synthesis of Ferroelectric Thin Films (Adv. Mater. Interfaces 10/2015),"Jones, Jacob L.; LeBeau, James M.; Nikkel, Jason; Oni, Adedapo A.; Dycus, J. Houston; Cozzan, Clayton; Lin, Fang-Yin; Chernatynskiy, Aleksandr; Nino, Juan C.; Sinnott, Susan B.; Mhin, Sungwook; Brennecka, Geoff L.; Ihlefeld, Jon",James LeBeau (jmlebeau); Jacob Jones (jljone21),10.1002/ADMI.201570048,2015,Ferroelectric and Piezoelectric Materials,"LeBeau, James M.; Nikkel, Jason; Oni, Adedapo A.; Dycus, J. Houston; Cozzan, Clayton; Lin, Fang-Yin; Chernatynskiy, Aleksandr; Nino, Juan C.; Sinnott, Susan B.; Mhin, Sungwook; Brennecka, Geoff L.; Ihlefeld, Jon","LeBeau, James M.; Jones, Jacob L.",jmlebeau; jljone21
Origin of Ferroelectric Phase in Undoped HfO2 Films Deposited by Sputtering,"Mittmann, Terence; Materano, Monica; Lomenzo, Patrick D.; Park, Min Hyuk; Stolichnov, Igor; Cavalieri, Matteo; Zhou, Chuanzhen; Chung, Ching‐Chang; Jones, Jacob L.; Szyjka, Thomas; Müller, Martina; Kersch, Alfred; Mikolajick, Thomas; Schroeder, Uwe",Chuanzhen Zhou (czhou); Ching-Chang Chung (cchung4); Jacob Jones (jljone21),10.1002/admi.201900042,2019,Ferroelectric and Negative Capacitance Devices; Semiconductor materials and devices; MXene and MAX Phase Materials,"Materano, Monica; Lomenzo, Patrick D.; Park, Min Hyuk; Stolichnov, Igor; Cavalieri, Matteo; Zhou, Chuanzhen; Chung, Ching‐Chang; Jones, Jacob L.; Szyjka, Thomas; Müller, Martina; Kersch, Alfred; Mikolajick, Thomas; Schroeder, Uwe","Zhou, Chuanzhen; Chung, Ching‐Chang; Jones, Jacob L.",czhou; cchung4; jljone21
Flexible Interconnects for Electronic Textiles,"Agcayazi, Talha; Chatterjee, Kony; Bozkurt, Alper; Ghosh, Tushar K.",Kony Chatterjee (kchatte); Alper Bozkurt (aybozkur); Tushar Ghosh (tghosh); Talha Agcayazi (tmagcaya),10.1002/admt.201700277,2018,Advanced Sensor and Energy Harvesting Materials; Conducting polymers and applications; Nanomaterials and Printing Technologies,"Chatterjee, Kony; Bozkurt, Alper; Ghosh, Tushar K.","Chatterjee, Kony; Bozkurt, Alper; Ghosh, Tushar K.; Agcayazi, Talha",kchatte; aybozkur; tghosh; tmagcaya
"Toward Fully Manufacturable, Fiber Assembly-Based Concurrent Multimodal and Multifunctional Sensors for e-Textiles","Kapoor, Ashish; McKnight, Michael; Chatterjee, Kony; Agcayazi, Talha; Kausche, Hannah; Bozkurt, Alper; Ghosh, Tushar K.",Tushar Ghosh (tghosh); Kony Chatterjee (kchatte); Alper Bozkurt (aybozkur),10.1002/admt.201800281,2018,Advanced Sensor and Energy Harvesting Materials; Conducting polymers and applications; Polydiacetylene-based materials and applications,"McKnight, Michael; Chatterjee, Kony; Agcayazi, Talha; Kausche, Hannah; Bozkurt, Alper; Ghosh, Tushar K.","Ghosh, Tushar K.; Chatterjee, Kony; Bozkurt, Alper",tghosh; kchatte; aybozkur
